School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Toronto,Political Science,"February 20, 2026",Accepted on 20 Feb,Fall 2026,International,3.72,,"Comparative Politics stream. 4.0 GPA in 3rd and 4th year, 3.72 CGPA. 4 RA positions related to research areas of interest, 5 extracurriculars, 1 academic research presentation."
University of Toronto,Political Science,"February 20, 2026",Accepted on 20 Feb,Fall 2026,International,3.9,,Domestic applicant
University of Toronto,Economics,"February 19, 2026",Accepted on 8 Feb,Fall 2026,International,3.60,,"International, did undergrad in Canada, minor in math with a full sequence of calculus and linear algebra, no real analysis, offered 15k TAship"
University of Toronto,Drama And Theatre,"February 19, 2026",Rejected on 19 Feb,Fall 2026,International,,,
University of Toronto,English,"February 19, 2026",Accepted on 19 Feb,Fall 2026,International,4.0,,SO HAPPY! Got an email confirming admission and will receive an official acceptance letter early March
"University of Toronto, Mississauga",Urban Innovation,"February 19, 2026",Interview on 19 Feb,Fall 2026,International,3.85,,
University of Toronto,English,"February 19, 2026",Accepted on 19 Feb,Fall 2026,International,4,,Kind letter from faculty. I was told to expect an official letter in early March.
University of Toronto,OISE - SJE,"February 19, 2026",Accepted on 6 Feb,Fall 2026,International,3.68,,Canadian applicant - MA funded
University of Toronto,Medieval Studies,"February 18, 2026",Rejected on 18 Feb,Fall 2026,American,3.55,,
University of Toronto,Economics,"February 17, 2026",Accepted on 8 Feb,Fall 2026,International,3.68,,"Domestic applicant, $8000 scholarship, last 3 years GPA 3.90"
University of Toronto,Religious Studies,"February 17, 2026",Accepted on 17 Feb,Fall 2026,American,3.9,,
University of Toronto,Computer Science,"February 12, 2026",Accepted on 12 Feb,Fall 2026,International,3.75,,Portal Status Update. No email. Canadian domestic student.
University of Toronto,Linguistics,"February 12, 2026",Rejected on 12 Feb,Fall 2026,American,3.86,,
University of Toronto,Linguistics,"February 12, 2026",Rejected on 12 Feb,Fall 2026,American,3.64,,
University of Toronto,Linguistics,"February 12, 2026",Rejected on 12 Feb,Fall 2026,International,3.97,,
University of Toronto,Ecology and Evolutionary Biology,"February 12, 2026",Accepted on 12 Feb,Fall 2026,International,,,
University of Toronto,Economics,"February 12, 2026",Accepted on 8 Feb,Fall 2026,International,3.92,GRE 164 | GRE V 158 | GRE AW 4.50,Accepted with $15000 scholarship plus a job offer for TA with 280 hours promised at 58$/h (CAD)
University of Toronto,Sociology,"February 11, 2026",Rejected on 11 Feb,Fall 2026,International,3.9,,"Email to check portal. True international. Highest degree from American Ivy, south-east asian citizenship."
University of Toronto,Ecology and Evolutionary Biology,"February 10, 2026",Accepted on 10 Feb,Fall 2026,International,3.82,,Domestic student. Undergrad from UofT.
University of Toronto,Center for European and Eurasian Affairs,"February 10, 2026",Accepted on 10 Feb,Fall 2026,American,3.56,,Got 27.5K in funding plus 4.5K to support international experience
University of Toronto,Economics,"February 07, 2026",Accepted on 4 Feb,Fall 2026,International,3.73,GRE 333 | GRE V 165 | GRE AW 5.5,"UofT internal, domestic."
University of Toronto,Medical Biophysics,"February 05, 2026",Rejected on 5 Feb,Fall 2026,International,3.81,,"Research experience in medical physics at PMH, undergrad thesis in molecular dynamics, two more research experiences in dark matter detection and astrophysical modeling"
University of Toronto,Computer Science,"February 03, 2026",Interview on 28 Jan,Fall 2026,International,3.44,,Canadian domestic student with over a year of research experience during undergrad. Had an interview with 1st POI.
University of Toronto,Sociology,"February 02, 2026",Wait listed on 2 Feb,Fall 2026,International,4.0,,Canadian applicant
University of Toronto,"Drama, Theater and Performance","January 27, 2026",Accepted on 27 Jan,Fall 2026,American,,,MA-Thesis Stream option
University of Toronto,Physics,"January 27, 2026",Rejected on 27 Jan,Fall 2026,International,,,
University of Toronto,Mechanical and Industrial Engineering,"January 23, 2026",Accepted on 13 Jan,Fall 2026,International,3.44,,"Domestic Student, MASc program. Have years of research experience and have publications. Over 3.9 GPA in my last few years."
University of Toronto,Computer Science,"January 21, 2026",Accepted on 12 Jan,Fall 2026,International,,,"I received an interview appointment email on December 14 (for a late-December interview). After that, I received a status update email on January 12 indicating that I should check the decision letter."
University of Toronto,Medical Biophysics,"January 20, 2026",Rejected on 20 Jan,Fall 2026,International,3.01,,"Domestic applicant, applied for nov 7 deadline. 3 co-author pubs and two presentations, almost two years of dry lab research experience. 3.55 last 2y gpa"
University of Toronto,Medical Biophysics,"January 20, 2026",Rejected on 20 Jan,Fall 2026,International,3.70,,"Domestic applicant, applied for the early round (November deadline), got the decision from the applicant portal."
University of Toronto,Economics,"January 19, 2026",Accepted on 7 Feb,Fall 2025,International,3.8,GRE 163 | GRE V 170,
University of Toronto,Molecular Genetics,"January 08, 2026",Rejected on 8 Jan,Fall 2026,International,3.70,,"Domestic applicant, applied for the early round (November deadline), got the decision from the applicant portal."
University of Toronto,Mechanical and Industrial Engineering,"January 02, 2026",Accepted on 18 Dec,Fall 2026,International,3.8,,Got an email saying the status of my application has changed and then checked the site and got an acceptance letter
University of Toronto,Speech Language Pathology,"December 09, 2025",Accepted on 16 Apr,Fall 2025,International,3.83,,
University of Toronto,Geography,"September 24, 2025",Accepted on 4 Apr,Fall 2024,International,3.89,,
University of Toronto,Environmental Science (MEnvSc),"July 05, 2025",Accepted on 4 Jul,Fall 2025,International,3.1,,3.1 CUM GPA but 3.9 for fourth year. Applied very close to the deadline (May 13th and deadline was May 15th)
University of Toronto,Cell and Molecular Biology,"May 05, 2025",Rejected on 1 May,Fall 2025,International,,,Domestic applicant
University of Toronto,Statistics,"May 03, 2025",Accepted on 2 May,Fall 2025,International,,,
University of Toronto,Electrical And Computer Engineering,"May 02, 2025",Wait listed on 2 May,Fall 2025,International,,,Has anyone received admission decision from the UofT for MEng in ECE Department for Fall 2025?
