School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Pennsylvania,Chemical And Biomolecular Engineering,"February 20, 2025",Accepted on 20 Feb,Fall 2025,International,,,
University of Pennsylvania,Mechanical Engineering,"February 19, 2025",Accepted on 19 Feb,Fall 2025,American,3.91,,
University of Pennsylvania,Mechanical Engineering,"February 19, 2025",Accepted on 19 Feb,Fall 2025,International,,,
University of Pennsylvania,Mechanical Engineering,"February 19, 2025",Accepted on 19 Feb,Fall 2025,International,3.92,,
University of Pennsylvania,Scientific Computing,"February 19, 2025",Accepted on 20 Feb,Fall 2025,International,3.50,,Bachelors in Mechanical Engineering. 1 Journal under review and 6 conferences First admit!
University of Pennsylvania,Chemical And Biomolecular Engineering,"February 19, 2025",Accepted on 20 Feb,Fall 2025,International,3.80,,
University of Pennsylvania,Computer Science,"February 16, 2025",Accepted on 15 Jan,Fall 2025,American,3.86,GRE 168 | GRE V 161 | GRE AW 4.50,
University of Pennsylvania,Medical Physics,"February 11, 2025",Interview on 11 Feb,Fall 2025,American,3.70,,
University of Pennsylvania,Computer Science,"February 03, 2025",Accepted on 29 Jan,Fall 2025,International,3.75,,
University of Pennsylvania,Public Health,"January 30, 2025",Interview on 30 Jan,Fall 2025,American,4.00,,
University of Pennsylvania,Social Policy,"January 28, 2025",Accepted on 28 Jan,Fall 2025,American,3.97,,MSSP + DA
University of Pennsylvania,Social Work,"January 28, 2025",Accepted on 28 Jan,Fall 2025,American,3.34,,"$17,400 one-time scholarship."
University of Pennsylvania,Computer Science,"January 21, 2025",Accepted on 15 Jan,Fall 2025,International,4.00,GRE 168 | GRE V 163 | GRE AW 5.50,Had 3 research internships in ML at top schools in my country. No publications.
University of Pennsylvania,Computer Science,"January 19, 2025",Accepted on 15 Jan,Fall 2025,International,,,
University of Pennsylvania,Computer and Information Technology,"January 18, 2025",Rejected on 17 Jan,Fall 2025,International,3.60,,"I have a medical field background, one year of experience as a software engineer after being self-taught. I took multiple courses online to increase my knowledge and proficiency. I guess that wasn't enough at all."
University of Pennsylvania,Data Science,"January 17, 2025",Rejected on 17 Jan,Fall 2025,International,3.56,GRE 316 | GRE V 152 | GRE AW 3.00,
University of Pennsylvania,Computer Science,"January 15, 2025",Accepted on 15 Jan,Fall 2025,American,3.86,GRE 168 | GRE V 161 | GRE AW 4.50,
University of Pennsylvania,Data Science,"January 15, 2025",Accepted on 15 Jan,Fall 2025,American,3.95,,
University of Pennsylvania,Data Science,"January 15, 2025",Accepted on 15 Jan,Fall 2025,American,3.95,,
University of Pennsylvania,Data Science,"January 15, 2025",Accepted on 15 Jan,Fall 2025,American,4.00,,Applied by priority deadline (11/1/24)
University of Pennsylvania,Robotics,"January 15, 2025",Accepted on 15 Jan,Fall 2025,International,3.93,GRE 324 | GRE V 157 | GRE AW 99.99,
University of Pennsylvania,Data Science,"January 15, 2025",Wait listed on 15 Jan,Fall 2025,American,,,
University of Pennsylvania,Data Science,"January 15, 2025",Wait listed on 15 Jan,Fall 2025,American,,,
University of Pennsylvania,Robotics,"January 15, 2025",Accepted on 15 Jan,Fall 2025,American,3.81,GRE 170 | GRE V 162,First admit! Very excited!
University of Pennsylvania,Robotics,"January 15, 2025",Wait listed on 15 Jan,Fall 2025,International,3.99,GRE 333,
University of Pennsylvania,Data Science,"January 15, 2025",Rejected on 15 Jan,Fall 2025,International,,,
University of Pennsylvania,Computer Science,"January 15, 2025",Accepted on 15 Jan,Fall 2025,International,3.94,,Early Application
University of Pennsylvania,East Asian Languages and Civilizations,"January 03, 2025",Accepted on 28 Dec,Fall 2025,American,3.34,,
University of Pennsylvania,East Asian Languages and Cultures,"January 02, 2025",Accepted on 31 Dec,Fall 2025,International,,,
Slippery Rock University Of Pennsylvania,History,"December 05, 2024",Accepted on 14 Nov,Fall 2025,American,3.70,,
California University Of Pennsylvania,Kinesiology And Nutrition,"September 06, 2024",Wait listed on 6 Sep,Fall 2024,,3.50,GRE 266 | GRE V 299 | GRE AW 99.99,I have got my first degree in public health from one of the universities in Ethiopia and now I want to continue my Masters Degree
University of Pennsylvania,Classical Archaeology,"April 15, 2024",Rejected on 15 Apr,Fall 2024,American,3.74,,AAMW Program. Generic rejection email. Got a better offer anyway.
University of Pennsylvania,English,"April 04, 2024",Rejected on 1 Apr,Fall 2024,International,,,
University of Pennsylvania,Behavioral And Decision Sciences,"April 04, 2024",Accepted on 4 Apr,Fall 2024,American,3.44,,
University of Pennsylvania,Computer Science,"April 04, 2024",Rejected on 27 Mar,Fall 2024,American,3.51,,"No GRE, ample research/internship experience, one supporting author publication"
University of Pennsylvania,English,"April 04, 2024",Accepted on 1 Apr,Fall 2024,International,4.00,,
